,Sentences
0,"Emily Ratliff, Juliet Sutherland, Charles Franks and the Online Distributed Proofreading Team."
1,BUSINESS HINTS FOR MEN AND WOMEN By A. R. CALHOUN CONTENTS CHAPTER I COMMON SENSE FARMING
2,"The Farmer, a Producer, and Seller."
3,CHAPTER II DOCUMENTS YOU SHOULD UNDERSTAND
4,CHAPTER III FORMS OF DEEDS AND MORTGAGES
5,CHAPTER V LETTER WRITING Business letters.
6,"CHAPTER VI BILLS, RECEIPTS AND ACCOUNTS"
7,CHAPTER VII WHO SHOULD KEEP ACCOUNTS
8,Be sure you are not losing.
9,CHAPTER XXVI LOOK BEFORE YOU LEAP
10,Be in no haste to invest.
11,CHAPTER XXVIII WORDS AND PHRASES USED
12,INTRODUCTION What is a good business man
13,"The rich man, you may answer."
14,"No, the good business man is the man who knows business."
15,Are you a good business man
16,"Up to the average, you say."
17,"Well, what do you know of business laws and rules, outside your present circle of routine work"
18,"Now, this handy little volume is a condensation of the rules and the laws which every man, from the day laborer to the banker, should be familiar with."
19,"We have not put in everything about business, for that would require a library, instead of a book that can be read in a short day, and be consulted for its special information at any time."
20,"It isn't a question of the price of the book to you, or of the profit to the publisher."
21,Many a man has failed because he did not know the rules and laws herein given.
22,Never a man has won honestly who did not carry out these rules and laws.
23,"CHAPTER I COMMON SENSE FARMING The three things essential to all wealth production are land, labor, and capital."
24,"The dry land was created before there appeared the man, the laborer, to work it."
25,"With his bare hands the worker could have done nothing with the land either as a grazer, a farmer or a miner."
26,"From the very first he needed capital, that is, the tools to work the land."
27,"The first tool may have been a pole, one end hardened in the fire, or a combined hoe and axe, made by fastening with wythes, a suitable stone to the end of a stick; but no matter the kind of tool, or the means of producing it, it represented capital, and the man who owned this tool was a capitalist as compared with the man without any such appliance."
28,"From the land, with the aid of labor and capital, comes wealth, which in a broad way may be defined as something having an exchangeable value."
29,Before the appearance of money all wealth changed hands through barter.
30,The wealth in the world to day is immeasurably greater than all the money in it.
31,"The business of the world, particularly between nations, is still carried on through exchange, the balances being settled by money."
32,"Money is a medium of exchange, and should not be confounded with wealth or capital; the latter is that form of wealth which is used with labor in all production."
33,"Broadly speaking, wealth is of two kinds, dormant and active."
34,"The former awaits the development of labor and capital, the latter is the product of both."
35,"Labor is human effort, in any form, used for the production of wealth."
36,It is of two kinds skilled and unskilled.
37,"The former may be wholly mental, the latter may be wholly manual."
38,"The successful farmer must be a skilled laborer, no matter the amount of his manual work."
39,"The unskilled farmer can never succeed largely, no matter how hard he works."
40,Trained hands with trained brains are irresistible.
41,Too many farmers live in the ruts cut by their great great grandfathers.
42,They still balance the corn in the sack with a stone.
43,Farming is the world's greatest industry.
