,Sentences
0,Transcriber's notes: o represents the vowel o with a macron in this text.
1,The original editor's comments are enclosed in square brackets .
2,"Notes unique to this edition are also enclosed in square brackets, but are preceded by the words Transcriber's Note ."
3,A complete list of all changes made to the text is included at the end of the file.
4,Variations in spelling were left as in the original.
5,Congress SENATE Document _ Session_ No.
6,"THE CONSTITUTION OF THE UNITED STATES OF AMERICA ANALYSIS AND INTERPRETATION Annotations of Cases Decided by the Supreme Court of the United States to June Prepared by the Legislative Reference Service, Library of Congress EDWARD S. CORWIN, Editor Illustration United States Government Printing Office Washington: For sale by the Superintendent of Documents, U.S. Government Printing Office Washington D.C. Price SENATE JOINT RESOLUTION JOINT RESOLUTION To prepare a revised edition of the Annotated Constitution of the United States of America as published in as Senate Document of the Seventy fourth Congress."
7,"Whereas the Annotated Constitution of the United States of America published in as Senate Document Seventy fourth Congress, has served a very useful purpose by supplying essential information in one volume and at a very reasonable price; and Whereas Senate Document is no longer available at the Government Printing Office; and Whereas the reprinting of this document without annotations for the last ten years is now considered appropriate: Now, therefore, be it _Resolved by the Senate and House of Representatives of the United States of America in Congress assembled_, That the Librarian of Congress is hereby authorized and directed to have the Annotated Constitution of the United States of America, published in revised and extended to include annotations of decisions of the Supreme Court prior to January construing the several provisions of the Constitution correlated under each separate provision, and to have the said revised document printed at the Government Printing Office."
8,"Three thousand copies shall be printed, of which two thousand two hundred copies shall be for the use of the House of Representatives and eight hundred copies for the use of the Senate."
9,"There is hereby authorized to be appropriated for carrying out the provisions of this Act, with respect to the preparation but not including printing, the sum of to remain available until expended."
10,"PREFACE By Honorable Alexander Wiley _Chairman, Senate Foreign Relations Committee_ To the Members and Committees of the Congress, the Constitution is more than a revered abstraction; it is an everyday companion and counsellor."
11,"Into it, the Founding Fathers breathed the spirit of life; through every subsequent generation, that spirit has remained vital."
12,"In more than a century and a half of cataclysmic events, the Constitution has successfully withstood test after test."
13,No crisis foreign or domestic has impaired its vitality.
14,The system of checks and balances which it sets up has enabled the growing nation to adapt itself to every need and at the same time to checkrein every bid for arbitrary power.
15,And meantime America itself has evolved dynamically and dramatically.
16,"The humble colonies, carved out of the wilderness in the h Century, emerged in the h Century as leader of earth industrial military political economic psychological."
17,Yet the broad outline of the Supreme Law remains today fundamentally intact.
18,It is small wonder that W.E.
19,Gladstone described the Constitution as the most wonderful work ever struck off at a given time by the brain and purpose of man.
20,"He knew, as should we, that the Constitution's words, its phrases, clauses, sentences, paragraphs, and sections still possess a miraculous quality a mingled flexibility and strength which permits its adaptation to the needs of the hour without sacrifice of its essential character as the basic framework of freedom."
21,Congress has long recognized how necessary it is to have a handy working guide to this superb charter.
22,"It has sought a map, so to speak, of the great historical landmarks of Constitutional jurisprudence landmarks which mark the oft times epic battles of clashing legal interpretations."
23,A first step was taken toward meeting this need by publication of Senate Document Congress in
