,Sentences
0,"PRACTICAL MIND READING By WILLIAM WALKER ATKINSON A COURSE OF LESSONS ON THOUGHT TRANSFERENCE, TELEPATHY, MENTAL CURRENTS, MENTAL RAPPORT, c. CONTAINING Practical Instruction, Exercises, Directions, etc., capable of being understood, mastered and demonstrated by any person of average intelligence PUBLISHED AND SOLD BY ADVANCED THOUGHT PUBLISHING CO. N. MICHIGAN AVE., CHICAGO, ILL. LONDON AGENTS: L.N."
1,"FOWLER CO., IMPERIAL ARCADE, LUDGATE CIRCUS, E.C."
2,"Copyright by THE LYAL BOOK COMPANY Copyright by ADVANCED THOUGHT PUBLISHING CO. NOTICE This book is protected by Copyright and simultaneous publication, in Great Britain, France, Germany, Russia and other countries."
3,"TABLE OF CONTENTS LESSON I THE NATURE OF MIND READING A plain, practical, scientific explanation of this Vast, Mysterious Subject, explaining the action of Mind upon Mind, and the Mental Wireless Telegraphy, according to the latest and best authorities."
4,LESSON II THE PROOFS OF MIND READING The result of the latest scientific experiments and investigations regarding this subject; practical proof and indisputable facts.
5,LESSON III CONTACT MIND READING Full instruction regarding the Nerve Currents passing from the human Transmitter to the human Receiver; stated so plainly that any one may instantly grasp the theory and practice.
6,"LESSON IV DEVELOPMENT EXERCISES How to develop yourself; how to grow proficient in practice; how to find Locations; how to find Objects; how to perform the necessary elementary feats, and thus prepare for Public Work."
7,LESSON V SIMPLE DEMONSTRATIONS Public or Parlor Demonstrations.
8,"Fourteen Practical Demonstrations are explained; full directions for performing them are given, so that the student may reproduce the experiments and demonstrations."
9,LESSON VI DIFFICULT DEMONSTRATIONS Explanations and instructions given for their performance.
10,"The Banknote Test; the Blackboard Feats; Drawing Pictures; Telepathic Chess and Checkers, etc., described, explained, and full instructions given for their reproduction."
11,"LESSON VII SENSATIONAL FEATS The Driving Feat; the Combination Lock Feat; the Office Detective Feat; the Postoffice Box Feat, and many other sensational demonstrations explained, together with an exposure of Fake Demonstrations."
12,LESSON VIII HIGHER PHENOMENA Demonstrations without contact.
13,"Only a few years ago the general public was in almost total ignorance of the great truth of Thought Transference, Thought Projection, Telepathy, or Mind Reading."
14,It is true that here and there were to be found a few scientists earnestly investigating and eagerly uncovering the hidden truths concerning the subjects.
15,"But the mass of the people were either entirely ignorant of the subject, or else were intensely skeptical of any thing concerning the matter, laughing to scorn the daring thinker who ventured to express his interest or belief in this great scientific phenomena."
16,"On all hands we hear of the wonders of Thought Transference, or Telepathy, as it is called."
17,"Scientific men write and teach of its fascinating manifestations, and even the general public has heard much of the new science and believes more or less in it, according to the degree of intelligence and knowledge concerning the subject possessed by the individual."
18,Listen to these words from the lips of some of the greatest scientists of the day.
19,"Prof. William James, the eminent instructor at Harvard University, says: When from our present advanced standpoint we look back upon the past stages of human thought, whether it be scientific thought or theological thought, we are amazed that a universe which appears to us of so vast and mysterious a complication should ever have seemed to anyone so little and plain a thing."
20,"Whether it be Descartes' world or Newton's; whether it be that of the Materialists of the last century, or that of the Bridgewater treatises of our own, it is always the same to us incredibly perspectiveless and short."
21,"Even Lyell's, Faraday's, Mill's and Darwin's consciousness of their respective subjects are already beginning to put on an infantile and innocent look."
22,These remarks are doubly significant by reason of their having been made by Prof. James as the president of the Society for Psychical Research.
23,"The eminent English scientist, Sir William Crookes, in his address as president of the Royal Society, at Bristol, England, a few years ago, said: Were I now introducing for the first time these inquiries to the world of science, I should choose a starting point different from that of old, where we formerly began."
24,"It would be well to begin with telepathy; with the fundamental law, as I believe it to be, that _thoughts and images may be transferred from one mind to another without the agency of the recognized organs of sense_ that knowledge may enter the human mind without being communicated in any hitherto known or recognized ways."
25,"Although the inquiry has elicited important facts with reference to the mind, it has not yet reached the scientific stage of certainty which would enable it to be usefully brought before one of our sections."
26,I will therefore confine myself to pointing out the direction in which scientific investigation can legitimately advance.
27,"If telepathy take place, we have two physical facts the physical change in the brain of A. the suggestor, and the analogous physical change in the brain of B. the recipient of the suggestion."
28,Between these two physical events there must exist a train of physical causes.
29,"Whenever the connecting sequence of intermediate causes begins to be revealed, the inquiry will then come within the range of one of the sections of the British Association."
30,Such a sequence can only occur through an intervening medium.
31,"All the phenomena of the Universe are presumably in some way continuous, and it is unscientific to call in the aid of mysterious agencies when with every fresh advance in knowledge, it is shown that ether vibrations have powers and attributes abundantly equal to any demand even the transmission of thought."
32,"Prof. Crookes then went on to say: It is supposed by some physiologists that the essential cells of nerves do not actually touch, but are separated by a narrow gap which widens in sleep while it narrows almost to extinction during mental activity."
33,This condition is so singularly like that of a Branly or Lodge coherer as to suggest a further analogy.
34,"The structure of brain and nerve being similar, it is conceivable that there may be present masses of such nerve coherers in the brain whose special function it may be to receive impulses brought from without through the connecting sequence of ether waves of appropriate order of magnitude."
35,"Roentgen has familiarized us with an order of vibrations of extreme minuteness compared with the smallest waves of which we have hitherto been acquainted, and of dimensions comparable with the distances between the centers of the atoms of which the material universe is built up; and there is no reason for believing that we have here reached the limit of frequency."
36,"It is known that the action of thought is accompanied by certain molecular movements in the brain, and here we have physical vibrations capable from their extreme minuteness of acting direct upon individual molecules, while their rapidity approaches that of the internal and external movements of the atoms themselves."
37,"A formidable range of phenomena must be scientifically sifted before we effectually grasp a faculty so strange, so bewildering, and for ages so inscrutable, as the direct action of mind on mind."
38,"It has been said that nothing worth the proving can be proved, nor yet disproved."
39,"True this may have been in the past, it is true no longer."
40,The science of our century has forged weapons of observation and analysis by which the veriest tyro may profit.
41,"Science has trained and fashioned the average mind into habits of exactitude and disciplined perception, and in so doing has fortified itself for tasks higher, wider and incomparably more wonderful than even the wisest among our ancestors imagined."
42,"Like the souls in Plato's myth that follow the chariot of Zeus, it has ascended to a point of vision far above the earth."
